DATE,AVG_HEALTH
2024-10-14,2.885890331
2024-10-15,2.802567249
2024-10-16,2.784328979
2024-10-17,2.785319386
2024-10-18,2.779581125
2024-10-19,2.71378452
2024-10-20,2.705357403
2024-10-21,2.801057032
2024-10-22,3.137575581
2024-10-23,3.329085618
2024-10-24,3.31774845
2024-10-25,3.212972124
2024-10-26,3.242639895
2024-10-27,3.246605133
2024-10-28,3.35414731
2024-10-29,3.388291082
2024-10-30,3.693386454
2024-10-31,3.798127136
2024-11-01,3.79150528
2024-11-02,3.810062715
2024-11-03,3.771954886
2024-11-04,3.697668842
2024-11-05,3.658119305
2024-11-06,4.116712298
2024-11-07,4.192991538
2024-11-08,4.592272988
2024-11-09,5.073801988
2024-11-10,4.298315758
2024-11-11,3.938254522
2024-11-12,4.205794737
2024-11-13,5.062880866
2024-11-14,5.246602895
2024-11-15,5.500028074
2024-11-16,5.232718877
2024-11-17,4.880353272
2024-11-18,4.623121274
2024-11-19,4.198320657
2024-11-20,4.033885058
2024-11-21,4.041487887
2024-11-22,4.041069934
2024-11-23,3.777951364
2024-11-24,3.850802595
2024-11-25,3.911054783
2024-11-26,4.22101525
2024-11-27,4.133165159
2024-11-28,4.015518491
2024-11-29,4.065304169
2024-11-30,4.090447382
2024-12-01,3.95813103
2024-12-02,3.692385386
2024-12-03,3.45809726
2024-12-04,3.324083123
2024-12-05,3.433688591
2024-12-06,3.654574096
2024-12-07,3.510005876
2024-12-08,3.304608456
2024-12-09,3.362907328
2024-12-10,3.280989387
2024-12-11,2.960305306
2024-12-12,2.773667342
2024-12-13,2.857587324
2024-12-14,3.140518468
2024-12-15,2.976552649
2024-12-16,2.808346966
2024-12-17,3.063760811
2024-12-18,3.320776345
2024-12-19,3.434883601
2024-12-20,3.459251689
2024-12-21,3.49003805
2024-12-22,3.438296479
2024-12-23,3.455019375
2024-12-24,3.705936425
2024-12-25,3.789188716
2024-12-26,3.62275211
2024-12-27,3.553134573
2024-12-28,3.481375013
2024-12-29,3.465004881
2024-12-30,3.438942498
2024-12-31,3.363098636
2025-01-01,3.361697907
2025-01-02,3.280462811
2025-01-03,3.272128997
2025-01-04,3.286505807
2025-01-05,3.127251856
2025-01-06,3.095224779
2025-01-07,3.143521587
2025-01-08,3.142153246
2025-01-09,3.171073681
2025-01-10,2.94572028
2025-01-11,2.734977986
2025-01-12,2.727319998
2025-01-13,2.641006337
2025-01-14,2.628999151
2025-01-15,2.900824253
2025-01-16,2.786824818
2025-01-17,3.088513664
2025-01-18,3.211055649
2025-01-19,2.976399934
2025-01-20,3.020067292
2025-01-21,3.114085678
2025-01-22,3.086301341
2025-01-23,3.06347492
2025-01-24,3.042173009
2025-01-25,2.994708942
2025-01-26,3.05604431
2025-01-27,3.32155795
2025-01-28,3.825742623
2025-01-29,3.625242782
2025-01-30,3.472819493
2025-01-31,3.283143727
2025-02-01,3.377829629
2025-02-02,3.356165673
2025-02-03,3.301379232
2025-02-04,3.386319031
2025-02-05,3.382838936
2025-02-06,3.403647403
2025-02-07,3.396092675
2025-02-08,3.327684929
2025-02-09,3.350134618
2025-02-10,3.391519265
2025-02-11,3.356903991
2025-02-12,3.371900872
2025-02-13,3.431092141
2025-02-14,3.471986328
2025-02-15,3.466750076
2025-02-16,3.479733476
2025-02-17,3.473817839
2025-02-18,3.411376656
2025-02-19,3.374544471
2025-02-20,3.268844393
2025-02-21,3.240358743
2025-02-22,3.225862365
2025-02-23,3.144222327
2025-02-24,3.092492706
2025-02-25,3.190855959
2025-02-26,3.168552459
2025-02-27,3.086637414
2025-02-28,3.102568153
2025-03-01,3.131417673
2025-03-02,3.097767074
2025-03-03,2.957678056
2025-03-04,2.934780393
2025-03-05,2.918147514
2025-03-06,2.876269141
2025-03-07,2.777260323
2025-03-08,2.521122393
2025-03-09,2.498183748
2025-03-10,2.28784022
2025-03-11,2.171452526
2025-03-12,2.228024874
2025-03-13,1.928286439
